Song_ID,Song_Name,Artist,Metre,Tonic
"511","Baby Can I Hold You ","Tracy Chapman","4/4","D"
"512","Crying Time","Ray Charles","4/4","Ab"
"513","Dyer Maker","Led Zepplin","4/4","C"
"514","I'd Love To Change The World","Ten Years After","4/4","E"
"515","Levon","Elton John","4/4","F"
"516","Smokin' In The Boys Room","Brownsville station","4/4","D"
"517","World In My Eyes","Depeche Mode","4/4","Eb"
"518","Come Monday","Jimmy Buffett","4/4","A"
"519","Foggy Mountain Breakdown","Flatt & Scruggs","4/4","Ab"
"520","Walk Right In","Dr. Hook","4/4","D"
"521","Walk Like A Man","Grand Funk Railroad","4/4","E"
"522","Too Weak To Fight","Clarence Carter","4/4","Db"
"523","Ask Me","Elvis Presley","12/8","D"
"524","The Night Chicago Died","Paper Lace","4/4","C"
"525","That Girl","Stevie Wonder","4/4","Ab"
"526","All Through The Night","Cyndi Lauper","4/4","Ab"
"527","Hair","The Cowsills","4/4","C"
"528","Press","Paul McCartney","4/4","C"
"529","I Want To Walk You Home","Fats Domino","12/8","Db"
"530","Walking In Memphis","Marc Cohn","4/4","C"
"531","Along Comes A Woman","Chicago","4/4","D"
"532","Rescue Me","Fontella Bass","4/4","A"
"533","A Very Special Love Song","Charlie Rich","4/4","C"
"534","Time Is On My Side","Rolling Stones","12/8","F"
"535","On Broadway","The Drifters","4/4","F#"
"536","Because I Love You","Stevie B","4/4","Db"
"537","Hot Child in the City","Nick Gilder","4/4","E"
"538","Soul And Inspiration","The Righteous Brothers","4/4","A"
"539","The Ways Of A Woman In Love","Johnny Cash","4/4","Bb"
"540","Last Date","Floyd Cramer","4/4","C"
"541","Hey Baby","Bruce Channel","4/4","A"
"542","Everybody Loves Me but You","Brenda Lee","12/8","G"
"543","Hungry Eyes ","Eric Carmen","4/4","F"
"544","Almost Grown","Chuck Berry","4/4","G"
"545","My Way ","Elvis Presley","4/4","C"
"546","Catch My Fall","Billy Idol","4/4","G"
"547","I Want You","Marvin Gaye","4/4","C#"
"548","You're The First, The Last, My Everything","Barry White","4/4","F"
"549","I Don't Love You Anymore","Teddy Pendergrass","4/4","G"
"550","Straight From The Heart","The Allman Brothers","4/4","A"
"551","Magic Man","Heart","4/4","G"
"552","Theme From The Dukes Of Hazzard","Waylon Jennings","4/4","F"
"553","True Colors","Cyndi Lauper","4/4","C"
"554","September","Earth, Wind & Fire","4/4","D"
"555","Just A Dream","Jimmy Clanton","12/8","G"
"556","We're All Alone","Rita Coolidge","4/4","G"
"557","You Took The Words Right Out Of My Mouth","Meat Loaf","4/4","G"
"558","On The Wings Of A Nightingale","The Everly Brothers","4/4","A"
"559","Unskinny Bop","Poison","4/4","Ab"
"560","Let's Get Serious","Jermaine Jackson","4/4","Bb"
"561","Super Freak Part One","Rick James","4/4","A"
"562","California Nights","Leslie Gore","4/4","C"
"563","Big Iron","Marty Robbins","4/4","E"
"564","Where Or When","Dion","4/4","Ab"
"565","Blue Jean","David Bowie","4/4","D"
"566","Mercy Mercy Me (The Ecology) ","Marvin Gaye","4/4","E"
"567","Just Like Jesse James","Cher","4/4","Ab"
"568","I Cried A Tear","LaVern Baker","12/8","A"
"569","Lovely Day ","Bill Withers","4/4","E"
"570","50 Ways To Leave Your Lover","Paul Simon","4/4","E"
"571","Just A Friend","Biz Markie","4/4","C"
"572","Journey To The Center Of The Mind","The Amboy Dukes","4/4","A"
"573","Trying To Live My Life Without You","Bob Seger & The Silver Bullet Band","4/4","D"
"574","Sexy Eyes ","Dr. Hook","4/4","C"
"575","Through The Years","Kenny Rogers","4/4","G"
"576","You Can Call Me Al","Paul Simon","4/4","F"
"577","Good Morning Starshine","Oliver","4/4","Bb"
"578","Sweet Love","Anita Baker","4/4","Bb"
"579","Surfin' Safari","The Beach Boys","4/4","A"
"580","When Will I Be Loved","Linda Ronstadt","4/4","E"
"581","Born To Be Wild","Steppenwolf","4/4","E"
"582","Goodbye Yellow Brick Road","Elton John","4/4","F"
"583","If I Could Turn Back Time","Cher","4/4","B"
"584","Burning Down The House","Talking Heads","4/4","D"
"585","I Got My Mind Set On You","George Harrison","4/4","E"
"586","Dance Away","Roxy","4/4","Eb"
"587","Sweet Surrender","Bread","4/4","A"
"588","Liar, Liar","The Castaways","4/4","C"
"589","Do You Love Me","The Contours","4/4","F"
"590","Jump (for My Love)","The Pointer Sisters","4/4","A"
"591","Bad Moon Rising","Creedence Clearwater Revival","4/4","D"
"592","I Saw Her Standing There","The Beatles","4/4","E"
"593","I Like The Way (The Kissing Game) ","Hi-Five","4/4","Bb"
"594","Get Up (I Feel Like Being Like A) Sex Machine (Part 1)","James Brown","4/4","Eb"
"595","Make A Little Magic","Nitty Gritty Dirt Band","4/4","F"
"596","You've Got Another Thing Comin'","Judas Priest","4/4","F#"
"597","Wheels ","The String-A-Longs","4/4","F"
"598","Elvira","Oak Ridge Boys","4/4","C"
"599","Don't Talk To Strangers","Rick Springfield","4/4","E"
"600","And She Was","Talking Heads","4/4","E"
"601","Secret Love","Freddy Fender","4/4","G"
"602","The Battle Of New Orleans","Johnny Horton","4/4","A"
"603","Superman","Donna Fargo","4/4","B"
"604","She Thinks I Still Care","Elvis Presley","4/4","Bb"
"605","Walk This Way","Run-D.M.C.","4/4","E"
"606","Don't stand so close to me","Police","4/4","Eb"
"607","Somebody s Watching Me","Rockwell","4/4","C#"
"608","One","Metallica","4/4","B"
"609","The Way You Do The Things You Do","UB40","4/4","Ab"
"610","Dance Hall Days","Wang Chung","4/4","C"
"611","Me Myself And I","De La Soul","4/4","A"
"612","Baby Don't Change Your Mind","Gladys Knight & The Pips","4/4","C"
"613","Don t You Know What The Night Can Do","Steve Winwood","4/4","A"
"614","Let's Go Get Stoned","Ray Charles","4/4","Db"
"615","Happy Jack","The Who","4/4","D"
"616","War","Edwin Starr","4/4","Eb"
"617","On And On And On","Abba","4/4","C"
"618","A Dream Goes On Forever","Todd Rundgren","4/4","G"
"619","California Nights","Leslie Gore","4/4","C"
"620","I Can't Stand It","Eric Clapton","4/4","D"
"621","I Wish It Would Rain","The Temptations","4/4","Bb"
"622","Country Road","James Taylor","4/4","D"
"623","Honey Honey","ABBA","4/4","F"
"624","Be My Baby","The Ronettes","4/4","E"
"625","Till The End Of The Day","The Kinks","4/4","D"
"626","Teach Your Children","Crosby, Stills & Nash","4/4","D"
"627","Kisses On The Wind","Neneh Cherry","4/4","D"
"628","Time For Me To Fly","REO Speedwagon","4/4","D"
"629","Hold On","Wilson Phillips","4/4","F"
"630","Girl You Know It s True","Milli Vanilli","4/4","Bb"
"631","If Not You","Dr. Hook","4/4","D"
"632","Sweet Caroline (Good Times Never Seemed So Good)","Bobby Womack","4/4","E"
"633","Promises","Eric Clapton","4/4","G"
"634","A Love Song","Anne Murray","4/4","G"
"635","Hot In The City","Billy Idol","4/4","C"
"636","Judy","Elvis Presley","4/4","G"
"637","The Best Disco In Town","The Ritchie Family","4/4","Ab"
"638","Perfidia","The Ventures","4/4","C"
"639","Out Of Sight, Out Of Mind","Little Anthony & The Imperials","4/4","Ab"
"640","Mony Mony","Tommy James","4/4","A"
"641","Dirty Water","Rock And Hyde","4/4","G"
"642","Treat Her Like A Lady","Cornelius Brothers & Sister Rose","4/4","F#"
"643","Eleanor Rigby","Ray Charles","4/4","E"
"644","Cry Like A Baby","The Box Tops","4/4","D"
"645","Feel Like Making Love","Roberta Flack","4/4","Eb"
"646","Like A Rock","Bob Seger","4/4","Ab"
"647","I Found A True Love","Wilson Pickett","4/4","C"
"648","Starting Over Again","Dolly Parton","4/4","Bb"
"649","Riders On The Storm","The Doors","4/4","E"
"650","I Second That Emotion","The Miracles","4/4","D"
"651","Fakin it","Simon & Garfunkel","4/4","E"
"652","The Twist","Chubby Checker","4/4","E"
"653","All I Ever Need Is You","Sonny & Cher","4/4","Bb"
"654","Feelin' Satisfied","Boston","4/4","E"
"655","I Cried A Tear","LaVern Baker","12/8","A"
"656","Eye In The Sky","The Allan Parsons Project","4/4","B"
"657","Miss You","The Rolling Stones","4/4","A"
"658","Take A Chance On Me","Abba","4/4","B"
"659","The Stroke","Billy Squier","4/4","D"
"660","Hello Hello","The Sopwith Camel","4/4","C"
"661","Sweet Soul Music","Arthur Conley","4/4","C"
"662","Breezin'","George Benson","4/4","D"
"663","Coming On Strong","Brenda Lee","4/4","C"
"664","Don't Ask Me Why","Billy Joel","4/4","Bb"
"665","Modern Love","David Bowie","4/4","C"
"666","Little Too Late","Pat Benatar","4/4","E"
"667","Kokomo (From The Cocktail Soundtrack)","The Beach Boys","4/4","C"
"668","The Look Of Love","Isaac Hayes","4/4","C#"
"669","Karma Chameleon","Culture Club","4/4","Bb"
"670","Venus","Bananarama","4/4","E"
"671","Unforgettable","Natalie Cole","4/4","Bb"
"672","Hello Stranger","Barbara Lewis","4/4","C"
"673","Dancing Machine","The Jacksons","4/4","Ab"
"674","You Make Me Feel Like Dancing","Leo Sayer","4/4","E"
"675","Baby I'm Burnin'","Dolly Parton","4/4","B"
"676","If","Bread","4/4","A"
"677","Shapes Of Things","The Yardbirds","4/4","G"
"678","The Bitch Is Back","Elton John","4/4","Ab"
"679","Nightshift","The Commodores","4/4","Ab"
"680","There Goes My Everything","Elvis Presley","3/4","Ab"
"681","Gloria","Laura Branigan","4/4","A"
"682","I Want To Take You Higher","Ike & Tina Turner","4/4","Ab"
"683","Hocus Pocus","Focus","4/4","A"
"684","Freeze-Frame","J. Geils Band","4/4","C"
"685","Baby Come Back","Player","4/4","Eb"
"686","Three Hearts In A Tangle","Roy Drusky","3/4","Db"
"687","Unchained Melody","The Righteous Brothers","12/8","C"
"688","The Millionaire","Dr. Hook","4/4","Eb"
"689","I Drove All Night","Cyndi Lauper","4/4","Ab"
"690","All This Time","Sting","4/4","G"
"691","Time Will Reveal","Debarge","4/4","C"
"692","Play That Funky Music","Wild Cherry","4/4","E"
"693","Disco Inferno","The Trammps","4/4","C"
"694","In The Midnight Hour ","Wilson Pickett","4/4","E"
"695","The Arms Of Orion","Prince & Sheena Easton","6/8","D"
"696","Hey You! Get Off My Mountain","The Dramatics","4/4","D"
"697","Soul Dance Number 3","Wilson Pickett","4/4","E"
"698","Surrender","Cheap Trick","4/4","Bb"
"699","Baby What You Want Me To Do","Jimmy Reed","4/4","E"
"700","Over The Hills and Far Away","Led Zeppelin","4/4","G"
"701","Lucky","Greg Kihn","4/4","A"
"702","We Don t Need Another Hero (Thunderdome)","Tina Turner","4/4","B"
"703","Down And Out In New York City","James Brown","4/4","Db"
"704","Goin' Back","The Byrds","4/4","E"
"705","Sugar Magnolia","The Greatful Dead","4/4","A"
"706","Town Without","Gene Pitney","12/8","B"
"707","Girl I m Gonna Miss You","Milli Vanilli","4/4","A"
"708","Lay Down Sally","Eric Clapton","4/4","A"
"709","It Keeps Right On A-Hurtin'","Johnny Tillotson","4/4","A"
"710","Oh Me Oh My (I'm A Fool For You Baby)","Aretha Franklin","4/4","Bb"
"711","Is There Something I Should Know","Duran Duran","4/4","D"
"712","I've Passed This Way Before","Jimmy Ruffin","4/4","Bb"
"713","Count On Me","Jefferson Starship","4/4","A"
"714","Jamie","Eddie Holland","4/4","Eb"
"715","Hooked On A Feeling","B.J. Thomas","4/4","A"
"716","My Kinda Lover","Billy Squier","4/4","C"
"717","Another Brick In The Wall (Part II)","Pink Floyd","4/4","D"
"718","Heartbreaker","Pat Benatar","4/4","F"
"719","I Walk Alone","Marty Robbins","12/8","C"
"720","My Wish Came True","Elvis Presley","4/4","D"
"721","After The Love Has Gone","Earth, Wind & Fire","4/4","F"
"722","Ain't No Sunshine","Bill Withers","4/4","A"
"723","I've Been Everywhere","Hank Snow","6/8","Db"
"724","Best Of My Love","Eagles","4/4","C"
"725","Tuff Enuff ","The Fabulous Thunderbirds","4/4","B"
"726","This Little Girl","Dion","4/4","Bb"
"727","Sad Eyes","Robert John","4/4","C"
"728","My Hometown","Bruce Springsteen","4/4","A"
"729","Hurts To Be In Love","Gino Vanelli","4/4","E"
"730","Never Can Say Goodbye","Gloria Gaynor","4/4","C"
"731","Must Of Got Lost ","The J. Geils Band","4/4","C"
"732","Every Time I Think Of You","The Babys","4/4","G"
"733","Rock And Roll Never Forgets","Bob Seger","4/4","E"
"734","Be My Guest","Fats Domino","4/4","Bb"
"735","Devil Woman ","Cliff Richard","4/4","D"
"736","Can We Still Be Friends","Todd Rundgren","4/4","C#"
"737","There'll Never Be","Switch","4/4","G"
"738","Take Me Down","Alabama","4/4","C"
"739","All Through The Night","Cyndi Lauper","4/4","Ab"
"740","Make Me Smile","Chicago","4/4","Eb"
"741","Don't Leave Me This Way","Thelma Houston","4/4","C"
"742","There But For Fortune","Joan Baez","4/4","Bb"
"743","Who Will You Run To ","Heart","4/4","A"
"744","He's A Rebel","The Crystals","4/4","F"
"745","I Can Help","Billy Swan","12/8","C"
"746","There's No Other (Like My Baby)","The Crystals","12/8","D"
"747","Look-Ka Py Py","The Meters","4/4","G"
"748","After The Love Has Gone","Earth, Wind & Fire","4/4","F"
"749","Private Dancer","Tina Turner","4/4","G"
"750","Where Are You","Dinah Washington","4/4","Eb"
"751","If I Could Build My Whole World Around You","Marvin Gaye & Tammy Terrell","4/4","Db"
"752","(I was) Born To Cry","Dion","4/4","A"
"753","Rock This Town","Stray Cats","4/4","D"
"754","The Twist","Chubby Checker","4/4","E"
"755","What You See Is What You Get","Tina Turner","4/4","F"
"756","Bust A Move","Young MC","4/4","E"
"757","Ob-La-Di, Ob-La-Da","The Beatles'","4/4","Bb"
"758","It Takes Two ","Rob Base","4/4","G"
"759","Reelin' & Rockin'","Chuck Berry","4/4","G"
"760","Land Of 1000 Dances","Chris Kenner","4/4","Eb"
"761","Never Knew Love Like This Before","Stephanie Mills","4/4","B"
"762","Lonely Weekends","Charlie Rich","4/4","F"
"763","Wichita Lineman","Glen Campbell","4/4","F"
"764","Ebony Eyes","The Everly Brothers","3/4","E"
"765","If I Could Build My Whole World Around You","Marvin Gaye & Tammy Terrell","4/4","Db"
"766","Funny Girl","Barbra Streisand","4/4","Eb"
"767","Will The Wolf Survive","Los Lobos","4/4","G"
"768","Big Iron","Marty Robbins","4/4","E"
"769","A Hazy Shade Of Winter","Simon And Garfunel","4/4","D"
"770","Lonely Weekends","Charlie Rich","4/4","F"
"771","Carry Me","David Crosby,Graham Nash","4/4","E"
"772","Treat Her Right","Roy Head","4/4","G"
"773","Invisible Touch","Genesis","4/4","F"
"774","One Less Bell To Answer","The 5th Dimension","4/4","D"
"775","Those Lazy-Hazy-Crazy Days Of Summer","Nat King Cole","4/4","Bb"
"776","Cruisin'","Smokey Robinson","4/4","E"
"777","Mighty Good Lovin'","The Miracles","4/4","Eb"
"778","Loving Her Was Easier","Kris Kristofferson","4/4","C"
"779","Get Together","The Youngbloods","4/4","A"
"780","Torn Between Two Lovers","Mary MacGregor","4/4","Bb"
"781","Are You Sure Hank Done It This Way","Waylon Jennings","4/4","B"
"782","Oh Father","Madonna","4/4","F"
"783","Talk Back Trembling Lips","Johnny Tillotson","4/4","A"
"784","Hard Days Night","The Beatles","4/4","G"
"785","I Love A Rainy Night","Eddie Rabbitt","4/4","C"
"786","Tell Me What You Want Me To Do","Tevin Campbell","4/4","Db"
"787","Abraham, Martin And John","Dion","4/4","E"
"788","A Cowboy's Work Is Never Done","Sonny & Cher","4/4","C"
"789","I Don t Want Your Love","Duran Duran","4/4","D"
"790","Going To Chicago Blues","Count Basie","4/4","Eb"
"791","Rock This Town","Stray Cats","4/4","D"
"792","Soul And Inspiration","The Righteous Brothers","4/4","A"
"793","Love Came To Me","Dion","4/4","G"
"794","The Sounds Of Silence","Simon & Garfunkel","4/4","Cb"
"795","Think Of Me","Buck Owens","4/4","B"
"796","Running On Empty ","Jackson Browne","4/4","A"
"797","Easy","The Commodores","4/4","Ab"
"798","I Got Stripes","Johnny Cash","4/4","Db"
"799","Daddy's Home","Cliff Richard","4/4","E"
"800","Cruisin'","Smokey Robinson","4/4","E"
"801","My Love","Paul McCartney & Wings","4/4","F"
"802","Ten Percent","Double Exposure","4/4","C"
"803","I Cried A Tear","LaVern Baker","12/8","A"
"804","Rebel Yell","Billy Idol","4/4","B"
"805","Ode To Billie Joe","Bobbie Gentry","4/4","D"
"806","Right Here, Right Now","Jesus Jones","4/4","D"
"807","Summertime Blues","Blue Cheer","4/4","C"
"808","Night Moves","Bob Seger","4/4","Ab"
"809","Live To Tell","Madonna","4/4","D"
"810","Happy Anniversary","Little River Band","4/4","E"
"811","Against The Wind","Bob Seger","4/4","G"
"812","I Want You Back","The Jacksons","4/4","Ab"
"813","Lucky Man","Emerson, Lake & Palmer","4/4","G"
"814","Kicks","Paul Revere & The Raiders","4/4","F"
"815","My World Fell Down","Sagittarius","4/4","Ab"
"816","Private Dancer","Tina Turner","4/4","G"
"817","Baby, Baby Don't Cry","The Miracles","4/4","F"
"818","Man In The Mirror","Michael Jackson","4/4","G"
"819","Only Sixteen","Dr. Hook","4/4","F"
"820","Standing In The Shadows Of Love","Four Tops","4/4","Bb"
"821","She's A Woman","The Beatles","4/4","Ab"
"822","The Year That Clayton Delaney Died","Tom T. Hall","4/4","Db"
"823","I Won't Stand In Your Way","Stray Cats","12/8","Eb"
"824","Echoes Of Love","The Doobie Brothers","4/4","A"
"825","Three Times A Lady","The Commodores","3/4","Ab"
"826","Island Of Lost Souls","Blondie","4/4","D"
"827","Heartbreaker","Pat Benatar","4/4","F"
"828","Even Now","Bob Seger","4/4","E"
"829","Lovers Who Wander","Dion","4/4","C"
"830","You Don't Own Me","Lesley Gore","4/4","G"
"831","Baby Don't Go","Sonny & Cher","4/4","C"
"832","I Don't Want To Spoil The Party","The Beatles","4/4","G"
"833","Last Dance","Donna Summer","4/4","Eb"
"834","Behind Closed Doors","Charlie Rich","4/4","Gb"
"835","Get Ready","Rare Earth","4/4","D"
"836","I'm In Love","Wilson Pickett","4/4","E"
"837","Carrie","Cliff Richard","4/4","D"
"838","I'll Tumble 4 Ya","Culture Club","4/4","C"
"839","I've Got A Tiger By The Tail","Buck Owens","4/4","E"
"840","All she wants is","Duran Duran","4/4","D"
"841","Chicago","25 or 6 to 4","4/4","A"
"842","Saturday Night","Bay City Rollers","4/4","G"
"843","You've got a Friend","Roberta Flack and Donny Hathaway","4/4","Ab"
"844","Heaven Must Have Sent You","Bonnie Pointer","4/4","C"
"845","Amanda","Boston","4/4","G"
"846","For Ol' Times Sake","Elvis Presley","4/4","Bb"
"847","Something About You","Level 42","4/4","E"
"848","Will You Love Me Tomorrow","The Shirelles","4/4","C"
"849","Alive Again","Chicago","4/4","Bb"
"850","Last Dance","Donna Summer","4/4","Eb"
"851","Help!","The Beatles","4/4","A"
"852","Paper Roses","Marie Osmond","4/4","Ab"
"853","Happy Man ","Greg Kihn Band","4/4","G"
"854","20-75","Willie Mitchell","4/4","C"
"855","That's Old Fashioned (That's The Way Love Should Be)","The Everly Brothers","4/4","G"
"856","Rock'n Me","Steve Miller Band","4/4","B"
"857","Baby Don't Change Your Mind","Gladys Knight & The Pips","4/4","C"
"858","All Alone Am I","Brenda Lee","6/8","F"
"859","Abacab","Genesis","4/4","C"
"860","Lovin' You","Minnie Riperton","4/4","A"
"861","Lady","Kenny Rogers","4/4","Eb"
"862","Right Here, Right Now","Jesus Jones","4/4","D"
"863","El Condor Pasa","Simon & Garfunkel","4/4","E"
"864","Baby What You Want Me To Do","Jimmy Reed","4/4","E"
"865","If I Were A Carpenter","Bobby Darin","4/4","D"
"866","Honky Tonk Women","The Rolling Stones","4/4","G"
"867","Rock and Roll, Hoochie Koo","Rick Derringer","4/4","A"
"868","Frankenstein","Edgar Winter","4/4","G"
"869","Who Wears These Shoes","Elton John","4/4","B"
"870","Lambada","Kaoma","4/4","D"
"871","The Rose","Bette Midler","4/4","C"
"872","Sidewalk Surfin'","Jan & Dean","4/4","D"
"873","We Don't Talk Anymore","Cliff Richard","4/4","C"
"874","She Bop","Cyndi Lauper","4/4","A"
"875","Baby Don t Forget My Number","Milli Vanilli","4/4","Ab"
"876","American Storm","Bob Seger","4/4","A"
"877","Let The Music Play ","Shannon","4/4","C"
"878","Treat Her Like A Lady","Cornelius Brothers & Sister Rose","4/4","F#"
"879","When It's Love","Van Halen","4/4","D"
"880","Crackerbox Palace","George Harrison","4/4","Bb"
"881","Standing In The Shadows Of Love","Four Tops","4/4","Bb"
"882","Upside Down","Diana Ross","4/4","G"
"883","Sukiyaki","A Taste Of Honey","4/4","Eb"
"884","Johnny Reb","Johnny Horton","4/4","E"
"885","There She Goes","The Las","4/4","G"
"886","Happy Together","The Turtles","4/4","F#"
"887","He's So Fine","The Chiffons","4/4","G"
"888","White Wedding","Billy Idol","4/4","B"
"889","Ebony Eyes","The Everly Brothers","3/4","E"
"890","Where The Streets Have No Names","Pet Shop Boys","4/4","Bb"
